feature,importance,split
DTF_season_sin_-0.9878726596350428,0.0,1
DTF_season_sin_-0.9854237542919524,0.0,1
DTF_season_sin_-0.9850556718215012,0.0,1
DTF_season_sin_-0.9823516608469236,0.0,1
DTF_season_sin_-0.981947190186646,0.0,1
DTF_season_sin_-0.978988873740932,0.0,1
DTF_season_sin_-0.9785481345802032,0.0,1
DTF_season_sin_-0.9753363880767836,0.0,1
DTF_season_sin_-0.9748595108374124,0.0,1
DTF_season_sin_-0.97139528468375,0.0,1
DTF_season_sin_-0.9708824104813836,0.0,1
DTF_season_sin_-0.9671667297977312,0.0,1
DTF_season_sin_-0.9666180104000972,0.0,1
DTF_season_sin_-0.9626519747161488,0.0,1
DTF_season_sin_-0.9620675724981452,0.0,1
DTF_season_sin_-0.9578523554276668,0.0,1
DTF_season_sin_-0.957232443323312,0.0,1
DTF_season_sin_-0.9527692922168512,0.0,1
DTF_season_sin_-0.9521140536681102,0.0,1
DTF_season_sin_-0.9474042892438844,0.0,1
DTF_season_sin_-0.9467139181463862,0.0,1
DTF_season_sin_-0.9417589340994617,0.0,1
DTF_season_sin_-0.9410336347451196,0.0,1
DTF_season_sin_-0.935834897334994,0.0,1
DTF_season_sin_-0.9350748843515574,0.0,1
DTF_season_sin_-0.9296339319682696,0.0,1
DTF_season_sin_-0.9288394302558068,0.0,1
DTF_season_sin_-0.923157872964704,0.0,1
DTF_season_sin_-0.9223291176290545,0.0,1
DTF_season_sin_-0.9164086366943458,0.0,1
DTF_season_sin_-0.9155458729775467,0.0,1
DTF_season_sin_-0.9093882203647924,0.0,1
DTF_season_sin_-0.9084917035725082,0.0,1
DTF_season_sin_-0.9020987014301836,0.0,1
DTF_season_sin_-0.9011686968561567,0.0,1
DTF_season_sin_-0.8945422369764496,0.0,1
DTF_season_sin_-0.8935790198239952,0.0,1
DTF_season_sin_-0.886721063082993,0.0,1
DTF_season_sin_-0.8857249183835637,0.0,1
DTF_season_sin_-0.8786374941610001,0.0,1
DTF_season_sin_-0.8776087166898392,0.0,1
DTF_season_sin_-0.8702939222685674,0.0,1
DTF_season_sin_-0.8692328164574792,0.0,1
DTF_season_sin_-0.8616928164028522,0.0,1
DTF_season_sin_-0.8605996962501181,0.0,1
DTF_season_sin_-0.8528367217694595,0.0,1
DTF_season_sin_-0.8517119107469189,0.0,1
DTF_season_sin_-0.8437282590292712,0.0,1
DTF_season_sin_-0.8425720899866032,0.0,1
DTF_season_sin_-0.8343701235229538,0.0,1
DTF_season_sin_-0.8331829385891785,0.0,1
DTF_season_sin_-0.8247650844733614,0.0,1
DTF_season_sin_-0.8235472349556007,0.0,1
DTF_season_sin_-0.8149159841660791,0.0,1
DTF_season_sin_-0.8136678304455991,0.0,1
DTF_season_sin_-0.8048257371083452,0.0,1
